# PB-020 repository-pinned gosec v2.28.0 candidate inventory and disposition ledger
# Command: gosec -conf .gosec.json -severity medium -confidence medium ./...
# Initial complete scan: Go 1.26.5; gosec module v2.28.0 built with Go 1.26.5; writable GOCACHE; no package/SSA skips; 954 files; 312,240 lines; 326 nosec recognized; 113 issues (44 High, 69 Medium).
# Rule totals: G115=9; G117=17; G118=18; G120=1; G122=5; G124=4; G202=9; G204=35; G703=12; G704=1; G705=2.
# Confidence totals: 65 High; 48 Medium. Dispositions: 9 remediated; 104 accepted with finding-local rationale.
# Final complete scan: same command and policy; 954 files; 312,496 lines; 418 nosec recognized; 0 issues.
# Every row below is one initial pinned-scanner candidate. Line values preserve the scanner's original location/range.
id	rule	severity	confidence	file	line	production_reachability	exploitability	disposition	security_rationale
PB020-PIN-001	G115	HIGH	MEDIUM	features/steward/dna/network_linux.go	86	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-002	G115	HIGH	MEDIUM	features/steward/dna/network_linux.go	86	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-003	G115	HIGH	MEDIUM	features/steward/dna/network_linux.go	86	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-004	G115	HIGH	MEDIUM	test/e2e/testdata.go	306	No - isolated test/integration harness	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-005	G115	HIGH	MEDIUM	features/modules/stdlib/file/implementation.go	363	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-006	G115	HIGH	MEDIUM	features/modules/stdlib/file/implementation.go	292	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-007	G115	HIGH	MEDIUM	features/reports/exporters/exporter.go	446	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-008	G115	HIGH	MEDIUM	features/reports/exporters/exporter.go	444	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-009	G115	HIGH	MEDIUM	features/controller/service/rbac_service.go	472	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	The conversion is bounded immediately before use or intentionally selects fixed wire/ASCII bits; the finding-local G115 rationale records that invariant.
PB020-PIN-010	G704	HIGH	HIGH	pkg/secrets/providers/openbao/provider.go	88	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	OPENBAO_ADDR is an administrator-controlled secrets-backend endpoint; private or loopback connectivity is required and no request input reaches it.
