# PB-020 exact initial gosec candidate inventory and disposition ledger
# Command: gosec -conf .gosec.json -severity medium -confidence medium ./...
# Initial complete compatible scan: 955 files; 312,028 lines; 0 nosec recognized; 320 issues (50 High, 270 Medium).
# Rule totals: G110=1; G115=38; G201=5; G202=11; G204=72; G301=25; G302=11; G304=131; G305=1; G306=13; G402=7; G404=5.
# Every row below is one initial scanner candidate. Line values preserve the scanner's original location/range.
id	rule	severity	confidence	file	line	production_reachability	exploitability	disposition	security_rationale
PB020-001	G115	HIGH	MEDIUM	features/steward/registration/client_http.go	282	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-002	G115	HIGH	MEDIUM	features/controller/health/collector.go	339	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-003	G115	HIGH	MEDIUM	features/controller/health/collector.go	338	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-004	G115	HIGH	MEDIUM	features/controller/health/collector.go	336	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-005	G115	HIGH	MEDIUM	cmd/steward/main.go	1723	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-006	G115	HIGH	MEDIUM	features/terminal/recorder.go	142	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-007	G115	HIGH	MEDIUM	features/steward/registration/client_http.go	282	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-008	G115	HIGH	MEDIUM	features/steward/dna/canonical.go	224	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-009	G115	HIGH	MEDIUM	features/monitoring/export/otlp.go	483	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-010	G115	HIGH	MEDIUM	features/monitoring/export/otlp.go	435	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-011	G115	HIGH	MEDIUM	features/monitoring/export/otlp.go	413	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-012	G115	HIGH	MEDIUM	features/monitoring/export/otlp.go	412	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-013	G115	HIGH	MEDIUM	features/controller/api/handlers_registration_refresh.go	161	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-014	G115	HIGH	MEDIUM	features/modules/extended/github_runner/install.go	181	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-015	G115	HIGH	MEDIUM	features/terminal/recorder.go	608	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-016	G115	HIGH	MEDIUM	features/steward/dna/hash.go	48	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-017	G115	HIGH	MEDIUM	features/steward/dna/hash.go	43	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-018	G115	HIGH	MEDIUM	features/steward/dna/canonical.go	249	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-019	G115	HIGH	MEDIUM	features/steward/dna/canonical.go	208	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-020	G115	HIGH	MEDIUM	features/steward/dna/canonical.go	107	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-021	G115	HIGH	MEDIUM	features/steward/dna/canonical.go	101	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-022	G115	HIGH	MEDIUM	features/controller/api/handlers_web_accounts.go	210	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-023	G115	HIGH	MEDIUM	features/rbac/jit/notification.go	546	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-024	G115	HIGH	MEDIUM	features/config/rollback/notifier.go	260	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-025	G115	HIGH	MEDIUM	features/config/diff/approval.go	57	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-026	G115	HIGH	MEDIUM	pkg/directory/dna/storage.go	359	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-027	G115	HIGH	MEDIUM	pkg/dataplane/providers/grpc/stream.go	179	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-028	G115	HIGH	MEDIUM	pkg/dataplane/providers/grpc/stream.go	153	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-029	G115	HIGH	MEDIUM	pkg/dataplane/providers/grpc/stream.go	152	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-030	G115	HIGH	MEDIUM	pkg/dataplane/providers/grpc/stream.go	87	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-031	G115	HIGH	MEDIUM	pkg/dataplane/providers/grpc/stream.go	60	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-032	G115	HIGH	MEDIUM	pkg/dataplane/providers/grpc/stream.go	59	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-033	G115	HIGH	MEDIUM	pkg/controlplane/providers/grpc/provider.go	624	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
PB020-034	G115	HIGH	MEDIUM	features/steward/client/telemetry_stream.go	298	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-035	G115	HIGH	MEDIUM	features/controller/transport/dna_handler.go	183	Yes - production/runtime	Actionable or defense-in-depth weakness before remediation	Remediated	A narrowing or sign-changing conversion could misrepresent input; explicit bounds or a non-narrowing expression now prevents it.
PB020-036	G115	HIGH	MEDIUM	features/controller/transport/config_handler.go	190	Yes - production/runtime	Not exploitable under reviewed boundary/invariant	Accepted - finding-local rationale	Conversion is lossless under the documented local bound or intentionally preserves wire-format bits; finding-local rationale applies.
